name,location,start_date,end_date
圓山花博x168幸福市集,台北市,2025-11-28,2025-11-30
小碧潭捷運站4樓&1樓,新北市,2025-11-21,2025-11-23
小碧潭捷運站4樓&1樓,新北市,2025-11-14,2025-11-16
圓山花博x168幸福市集,台北市,2025-10-24,2025-10-26
圓山花博x168幸福市集,台北市,2025-10-03,2025-10-05
東森廣場k區東廣場(寄售),台北市,2025-09-01,2025-10-31
小碧潭捷運站4樓&1樓,新北市,2025-08-29,2025-08-31
南港瓶蓋工廠-吉刻市集Ｘ文博浪潮市集,台北市,2025-08-08,2025-08-10
眾樂樂文創市集,台北市,2025-07-25,2025-07-27
集光市 × 日月光【EP.4 日常療癒計畫】,新北市,2025-07-19,2025-07-20
小小地球人市集｜龍山文創,台北市,2025-07-12,2025-07-13
蜜香紅茶與手作的相遇-安森町主題市集,台北市,2025-07-12,2025-07-13
集光市 #汐光市集｜與汐止一起生活的在地提案,新北市,2025-07-12,2025-07-13
風格酒食之夜,台北市,2025-07-11,2025-07-13
大暑升級 LEVEL UP ~ 龍山夏日市集,台北市,2025-07-05,2025-07-06
心靈綠洲 療癒日,台北市,2025-07-05,2025-07-06
忠孝敦化第四廣場(寄售),台北市,2025-07-01,2025-12-31
日式花火祭典,台北市,2025-06-28,2025-06-29
板橋府中後站廣場,新北市,2025-06-27,2025-06-29
漢堡大學-漢堡的多重宇宙,台北市,2025-06-21,2025-06-22
耍廢。甩廢 天生廢材必有用 大安森環保市集,台北市,2025-06-21,2025-06-22
板橋府中後站廣場,新北市,2025-06-20,2025-06-22
June Together 年中大會師,台北市,2025-06-14,2025-06-15
新店捷運站出口廣場-夏日微光市集,新北市,2025-06-13,2025-06-15
無邊境經典市集-夏日版,新北市,2025-06-13,2025-06-15
JAZZ UP! 爵士樂生活,台北市,2025-06-07,2025-06-08
淡水捷運2號出口廣場,新北市,2025-06-06,2025-06-08
中和四號公園,新北市,2025-06-06,2025-06-08
南村夏日子-兩場次,台北市,2025-05-01,2025-06-30
美河市新店IKEA 1F&4F,新北市,2025-04-01,2025-06-30
長期櫃位~夢想寄售店-東區地下街20-1,台北市,2025-04-01,2025-08-31
///斜槓自由市/// (免攤位費),台北市,2025-04-01,2025-11-30
